msno,song_id,source_system_tab,source_screen_name,source_type,target
TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,IgMar/mVrJQ+ODFPytDf7jwQMmR09+slyZUdVylRFLc=,my library,Local playlist more,local-playlist,1
3g0bC24RD7QUeALY1IF/e8L6X3fHG298ZFIsCEG9T9Y=,6HofPS0v2MVFsL10yCN7dXUL+gUOnvsD35vx3HmRbdE=,my library,Local playlist more,local-library,1
TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,a4TbK5V15pj3YZUOGa9h2U3t0OsE+3aiFw41mNlcgcw=,my library,My library,local-playlist,1
TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,My library,local-playlist,1
TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,4ZISq5iNKgBGGW2OvKBBzBsYXRohcJYFkqx3uVFCAuA=,my library,,top-hits-for-artist,0
uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,9yi9yLGK5Soiz1IO3iosDsx5O3hutglBHl1JbVHLjLw=,my library,Local playlist more,local-library,1
uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,VqOqrfMxAOMwJpyfUSyWuPmHpMtSuzvrCvHgahApvDU=,my library,Local playlist more,local-library,1
uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,H0pfaBjENAn1eYhCA5+rurd8AnnJF17J512SKZBfvfU=,my library,Local playlist more,local-library,1
uQQHTQJ1nVEkBfbXe0f1/J9ML5eQhsQiocCV5TvvCRI=,lrgjGNzyCHrMPfLKNMV0NBh9hdNTpzoj5rOZ27tXMLo=,my library,Local playlist more,local-library,1
pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,gAsKceTstGBoPKWib6Zp0h8m15fH/qFwlfWsr24KFRg=,my library,Online playlist more,online-playlist,1
pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,n2mNwyApX16qOdG4ye2ehf5Cp5oevcahFh27Jyq/7JQ=,my library,Online playlist more,online-playlist,0
pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,WHEVGSHBtJBVy+HjH84qRtj0KcNtYd+2pUO4xHMAJXk=,my library,Online playlist more,online-playlist,0
pouJqjNRmZOnRNzzMWWkamTKkIGHyvhl/jo4HgbncnM=,TLUDFNRpLCG/DmqLiXBc4Udypwucj4XmKtotIUO6nXM=,my library,Online playlist more,online-playlist,0
Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,AVwT7l/VL0pOXpH4PkP9Cqh0Y9PJ1B0BHctZO9+lnmk=,my library,Local playlist more,local-library,1
Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,j15oN8gA26II4cebHvxc+rIIjzyBDzjHi9rYx7oSvrQ=,my library,Local playlist more,local-library,1
ULaS7iTeNVqlI45nQEFyye+QRhPy1TvABDDu8AXool0=,CLEDgLdGvXhoXod/9uzm9UwECV5IzqWOrXHtHXpq5+E=,my library,Local playlist more,local-library,1
Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,TE5ASd0CqSedf7+LBnqf5Z8Kfm9X9wfj8t2IXZNuDOw=,my library,Local playlist more,local-library,1
Vgeu+u3vXE0FhQtG/Vr3I/U3V0TX/jzQAEBhi3S3qi0=,/2CWoqYh5/DUNi48voCXqA9V347liPy2WpEJj6CZro0=,my library,Local playlist more,local-library,1
ULaS7iTeNVqlI45nQEFyye+QRhPy1TvABDDu8AXool0=,2bj5oqCPPzY6E0TPgwySkfj8/l/c+DVQBqnABx0qPSk=,my library,Local playlist more,local-library,1
HtdItmpx36u5trW7la7gelIcwUiz/DvlhIgvdK1USUc=,56GgUdZtxpOVaQWIIPK2gFBiyJxYjbC8gPMPU1stoL8=,search,Album more,album,1
RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,K2jkXlozk/+HPjs1RyDlBUHJx2Ky+ITavwBXPcFqtHY=,my library,Local playlist more,local-library,0
RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,P6dllZw/ZnO7qcufxOKHAXGwlCvkmm4djJT/82d3ihA=,my library,Local playlist more,local-library,0
RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,1ysr+JKN0mCCeW0UqWIj2Vlxz3N5aQOEW5mkSW/OBPA=,my library,Local playlist more,local-library,0
RPLdWVYe6joZEnv9TzljsdCWMtKopKpRXk1hKAnQQCQ=,8YOEmwK8kgfdH+Qh5FgH8RzDYs2g957lo0RUsHX2t2g=,my library,Local playlist more,local-library,1
dEK1cVfdGaKd5ihXxCzf1HbZjR8+JdTYvfHFEnNz3cQ=,cL24vvYHrkz4YjAzU4OtrjGXUz1wBNWFqC/PQXMKIY0=,my library,Local playlist more,local-library,1
GdtjMBKkoLch5LCAHQdRiA0HJlngEEJzGNfkQjGmqQw=,MM+huiuccu4p5mNVhWxWgJreIsRWuEmvbvpCu0q79XM=,my library,Local playlist more,local-library,1
HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,Prbb1SisBE80rnDae36BPKvkulEiXMssQvBfVCsHr38=,my library,Local playlist more,local-library,1
HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,9Vkmwza4MO1p/usHFkghvpmatny5xAxyZ51bC49AaYU=,my library,Local playlist more,local-library,1
HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,vM08WBQRO9eZo1K+qTJmjuw2IqbuA3L65ojbGwB4GI0=,my library,Local playlist more,local-library,0
HkWEvfQyrb5Lve8X3B7HkCEkDFW8qFy/9kWFb4QbM5k=,lBYsvASSajQQPfE/o65Qy3FYsMHhbCmynFANAP29nks=,my library,Local playlist more,local-library,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,DLBDZhOoW7zd7GBV99bi92ZXYUS26lzV+jJKbHshP5c=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,FknKo37OUvSxVgBrw72Bi8gGcWEZVF8MY3YyzmGx6ag=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,T86YHdD4C9JSc274b1IlMkLuNdz4BQRB50fWWE7hx9g=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,skehue/d/R59G71dXYpntDwdjRRPlweN3JE8g40TgZU=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,L6w2d0w84FjTvFr+BhMfgu7dZAsGiOqUGmvvxIG3gvQ=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,WL4ipO3Mx9pxd4FMs69ha6o9541+fLeOow67Qkrfnro=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,3DU6F6k6dFSdoQa2tsia5spMXFCxWh4JJdA3OxSo3rM=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,reXuGcEWDDCnL0K3Th//3DFG4S1ACSpJMzA+CFipo1g=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,+Sm75wnBf/sjm/QMUAFx8N+Ae04kWCXGlgH50tTeM6c=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,IXP1a2o3NL8WU4WK1X0WJAKaSW+LgGRpPDn4Gt1HrV8=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,PgRtmmESVNtWjoZHO5a1r21vIz9sVZmcJJpFCbRa1LI=,my library,Local playlist more,local-playlist,1
0LhkakIQDn36HZXI6ClQSO7W7jkpZAy+9MvYgPOZGrA=,u6/Pb7X4u7KU4gXrBgGqt8RlRrNNFLn03tLAHyxRxwA=,my library,Local playlist more,local-playlist,1
1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,iXbxmEpOCNBNj9ty45gPuwtYvUqQBOKNsXANX25joiY=,my library,Local playlist more,local-playlist,1
1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,U/pC2dgvSHe4/rEyrhe4YwIHyaHlbNRMtxAKuuWrmlY=,my library,Local playlist more,local-playlist,1
1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,lIVEEZgY5lPwvzf6iu3Zz7HHNRfLUpwv6JysYBwBjMM=,my library,Local playlist more,local-playlist,1
1GH1R7OI417+PPoqBtb9Jh1udsZC5XrOW2HqwjzCl2A=,IPeg6L8QvmfJTuOFNa4iPnk93WzyceWdxnVDCreoEpE=,my library,Local playlist more,local-playlist,1
B/wRgN7GRfDNGvsvjoA97MIFvlNkx52eMz8rGhK/P9M=,1R5HlX765HuV3uvLmJ0FqUQmlAmjdcqF0GbOqf9qUGs=,my library,Local playlist more,local-library,1
B/wRgN7GRfDNGvsvjoA97MIFvlNkx52eMz8rGhK/P9M=,hQtwwQhSamcIwNl/1JDR3B77oF2QxwB95paAKAqsIAo=,my library,Local playlist more,local-library,1
FE+vOBWbYW+sl9YMZR0jYIzZVonsr+G7NA+rDApwnvw=,LBFRdBacp7Ob6Ada2N7uCQ47DhiNT2KjUtwOA7oSm7I=,discover,Discover Feature,online-playlist,1
8Nlr1MyF+XUilQ4z9Cv6Re9qQIYwa5rCi90flRoyDv0=,aaosaazotfFOGS0pdK4RLNmLtezYXub2Gb6T6YGGObU=,discover,Unknown,online-playlist,0
eOz0KfyF/jZ2hI84e54q1j0kd+TrF7mPe+ppQiz/Ues=,vTFRLU6zCXTVzFRL24gzZO3MsD5nlc/kKtjEuj29+h0=,my library,Local playlist more,local-library,1
8Nlr1MyF+XUilQ4z9Cv6Re9qQIYwa5rCi90flRoyDv0=,+u3iqLNaEoGlLwRbnbU0kM3CjctokMh1MPRFLrrzuQQ=,discover,Unknown,online-playlist,0
zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,4weA5ndJkDSo7zM38+4t7NT+CJ/5omnZYVHf/IDe+Qk=,my library,Local playlist more,local-library,1
zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,/56EZoEb7TAm0G8GLJpA2Uzgg6QiJcYDwvI08I+w8JA=,my library,Local playlist more,local-library,1
zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,yvaF60S5mJQ1SOk2vfNeZ9WFeUr7lWMq37OPExyeoaU=,my library,Local playlist more,local-library,1
zXLzFiB5jQaph3W2EyGi5DGsUloRPcoVTG4VI5ullew=,SJHL9vlSHU06VO8w32meVip35heQuc2gsLGWswru/xs=,my library,Local playlist more,local-library,1
eOz0KfyF/jZ2hI84e54q1j0kd+TrF7mPe+ppQiz/Ues=,20e8yHxKn8p+G2zFcxC/3UDM5rYFCIoozlTCUB0YumU=,my library,Local playlist more,local-library,1
mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,Xy3cGOjm2V1MF7SZGA36NEC7b46NVBXvLnBDWXOl2FE=,my library,Local playlist more,local-library,1
mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,GFWjz4apE8zMiXe6wc0qCjr+DbK9BFkwo/rr+FsNm+g=,my library,Local playlist more,local-library,0
mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,n8xoFetUt29W6E4Gxnz8SGKewVBDSTtLdZ913mb4Hzg=,my library,Local playlist more,local-library,1
mxAnVRJaxt6zsH6/lpKp6tUjs7dAh9a6RMTPrNuqm44=,7HDcHFAVdw76mL4Z5hbz300+s1oSUstaOfmaLw0+Dfo=,my library,Local playlist more,local-library,1
zcCi+lR4SecPMBbZEwj4UUBrWhgBUbxx+t4O5KA28K8=,3RnXpHSbz61HoSCJEB7B9Sn3bqKPUvgYVwM8ceOEd1M=,discover,,top-hits-for-artist,1
CL91UAbjYfhlEg1Yjh10QStr0liu9B/yImCGHlpiEMI=,2fhzNUTd3X1n8IKBAd0xM2HwOuDIc0Qb6ZcVQ3OmqX4=,my library,My library,local-playlist,1
yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,RAVcXkNI6tqrsArzBxA9JcNnv/ftDwqDwBDaGqIzXyA=,my library,Local playlist more,local-library,1
yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,ziioVtzot6FMViJgAMZliplvo7EmX3ecPuoZHXTr2Zo=,my library,Local playlist more,local-library,1
Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,JZ+4w2HWMQiyCErXdD8YMi7okU40lobADjHq9/TDFvg=,my library,Local playlist more,local-library,1
Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,CUPwUKwyAEXwoQw8ik8EyfskXSvEUpu3Pb3mS2yFXoI=,my library,Local playlist more,local-library,1
yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,pRjhEkL8Da3+YpKh9SYcmYLKG1lYFy4ixcYy0h1Pc30=,my library,Local playlist more,local-library,1
Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,boxeSDj5nrUIRE0JoCMKUBxk/c4dsKf49yacI6WPHoc=,my library,Local playlist more,local-library,1
Gz/bwq6vWwkm5QQOCd3ftP4F4mMthEFGf3ztaXgm6e0=,6i95Pie609AyCL86KYyXQkECKYudj7BnhRS5KRhJC6o=,my library,Local playlist more,local-library,1
yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,lsvDNSX7YzpRBphxelN46v3wV2zXsJflqDOSVKrCOOM=,my library,Local playlist more,local-library,1
doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,34IXh04bdV42ClAF+3lHsAjNQEA9yljeyamS6+Wv1BQ=,my library,Local playlist more,local-playlist,1
rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,U03If8ekFQ69MIodnGZOgaFV9vbFpwDQZQYCf5To5fo=,,,,0
doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,NDtSbLpLMkWyBAhfRimU73D/pKVWE6Z3Q2IEdmFuWNk=,my library,Local playlist more,local-playlist,1
rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,yv4Nasbw8r06KtMHzaEMF/SrpYPv+V73JrwFClUoRQ0=,,,,0
rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,0cHV60MVnGOKMb/GRHWEExfpahkCwIZQ0wxdYBJfoqE=,,,,0
rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,ux6db2W4f9nhapYVkSg81Uzhxnw0vf44cFWHSd2EuJo=,discover,Online playlist more,online-playlist,1
rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,IKMFuL0f5Y8c63Hg9BXkeNJjE0z8yf3gMt/tOxF4QNE=,discover,Online playlist more,online-playlist,1
rAI+tZ85/S4CEHBEhUkHDLO1afqVLArCu0nsBmORwfQ=,fCCmIa0Y5m+MCGbQga31MOLTIqi7ddgXvkjFPmfslGw=,discover,Online playlist more,online-playlist,0
doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,HbqkjwnnIt6BtfmvVyXTdPHAsFCYxU74sv8+s1lfIwE=,my library,Local playlist more,local-playlist,1
doK1LuOCXLXKXT395FCHJHTx2q09akseWw8YdmDZugg=,wVUeoaIQXKvfVyfhDmbASVl049NL7hVvfOo7vYoSyMQ=,my library,Local playlist more,local-playlist,1
Eaq21N7ijazDjnqU5v1jjWewJopGxgZxkKr4GIq7JTs=,BwDDym6Tp7EnGudWBGJyjONZeX0/4ndu5PETiPWzav8=,my library,,local-library,1
pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,b+OlR6qF0gzG++m+sYrOnf7bJF6WmXv51xGLBpmugxg=,my library,Local playlist more,local-library,1
pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,9tNXaK/yKJfTcoWLRFw6HXplizDxq4bFvzs3scmesCU=,my library,Local playlist more,local-library,1
pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,dKsoBHe5cVhyQSU8CimXs4ysaAky4RNgBwIafHaLkik=,my library,Local playlist more,local-library,1
pNPe9+kUnGJem0nHfYPdQ/Jx5yNlGLTJLshSohjkSdA=,3W6VBSN09a/Vh9w1Fwmdus4H4xxmde/yu0RBgMcTtZM=,my library,Local playlist more,local-library,1
bhuHwSgo3phrTnYg832QJj9v1Pu0XL/M1VZnrWYiQJA=,C5WXXxhTCLycfYikLSdoerRwq4KgO4LRoae5L4909gY=,search,Album more,album,1
9ibQ9CebtCHGclFMWRSUDCO+007NOardgQlZt0Y/2I8=,0eBnzCiQYi7NVJdPoa4CnpZIAKdsHm2TODGnWQB/UAI=,discover,Online playlist more,song-based-playlist,0
9ibQ9CebtCHGclFMWRSUDCO+007NOardgQlZt0Y/2I8=,O/uTdviBR/eez7O1yCgFv/LjkoMBOG0uu3j3LWPOBqg=,my library,Local playlist more,local-playlist,1
9ibQ9CebtCHGclFMWRSUDCO+007NOardgQlZt0Y/2I8=,VknP2wUT91+9dCvL7adPnA7aWCVpI96XurJMw9I3dms=,my library,Local playlist more,local-playlist,1
9ibQ9CebtCHGclFMWRSUDCO+007NOardgQlZt0Y/2I8=,jnT3WZ56lfgbFumpL05DMXyQrVMlJVdkEj1tz+B6Kmc=,discover,Online playlist more,song-based-playlist,1
9ibQ9CebtCHGclFMWRSUDCO+007NOardgQlZt0Y/2I8=,Dh9QlpCW3TToGvERbPQXl/zxNFwt0MqH6CBn74kXf/A=,discover,Online playlist more,song-based-playlist,1
LxfIvtDj+f+3XFreJe9FET/osOASyHevAyuO+BzgjeU=,EL5DbsSvhAFtMBBoOjs4aipOjC3Xj4syX/l/wlK+kdM=,my library,Local playlist more,local-library,1
nQq84ZING2nzHMcA3BxwjUjq8Dl1BboCpy+qqI1yQ+Y=,34IXh04bdV42ClAF+3lHsAjNQEA9yljeyamS6+Wv1BQ=,my library,Local playlist more,local-playlist,1
nQq84ZING2nzHMcA3BxwjUjq8Dl1BboCpy+qqI1yQ+Y=,U9kojfZSKaiWOW94PKh1Riyv/zUWxmBRmv0XInQWLGw=,my library,Local playlist more,local-playlist,1
nQq84ZING2nzHMcA3BxwjUjq8Dl1BboCpy+qqI1yQ+Y=,QjRlzbxmVxusW6CP2Xr8GjX3BnPitUMFBxCWxd/5AKY=,my library,Local playlist more,local-playlist,1
LxfIvtDj+f+3XFreJe9FET/osOASyHevAyuO+BzgjeU=,jRgAVTjQ9GHuBdQ48SOlLVD0xf16DODOslUaq4NGQ2Y=,my library,Local playlist more,local-library,1
O0AvcpH+4JaN06kYCsf1PBVVC6DvT5zfmNEw290htuM=,7dUiqNIuyM+aDRJEw3+ZSYydeZGAQ1AAI0eOd0Nzh8c=,my library,Local playlist more,local-library,1
O0AvcpH+4JaN06kYCsf1PBVVC6DvT5zfmNEw290htuM=,tbM8ByK21+iSDWZlT1yNgffPdQ5h9Wbk0hxS5RHQaCo=,my library,Local playlist more,local-library,1
TvRiYDQdf17iCa4bPNPhvSbrSPeJihByqgiBTQlICyE=,NJwgkIpKUqT4GyfiiKkHnS1w03qbfoMpKKomoLvfzqo=,my library,Local playlist more,local-library,1
O0AvcpH+4JaN06kYCsf1PBVVC6DvT5zfmNEw290htuM=,wWaQCZoXVhyptuqYAkWKTpuHhB02Sf3s3+zqr/w8jqQ=,my library,Local playlist more,local-library,1
TvRiYDQdf17iCa4bPNPhvSbrSPeJihByqgiBTQlICyE=,Vh95sm5B4mEDTCUvNtCbgSV+aWTvYODUP5WBJx20mr8=,my library,Local playlist more,local-library,1
TvRiYDQdf17iCa4bPNPhvSbrSPeJihByqgiBTQlICyE=,Evt5gdtaDG2+3dq8JB5+8qKWP3QU9pkyFNCd8a1z1zk=,my library,Local playlist more,local-library,1
gkWsUPNQVsVvEjihLMbIZlriQbV+YyFVMB42melpJhI=,zoGrsIvu2CqHccUYgzhXqhXqQq5/G1eQN0wHHO9EyV4=,my library,Local playlist more,local-playlist,1
gkWsUPNQVsVvEjihLMbIZlriQbV+YyFVMB42melpJhI=,yPA+sQt5tJ3NgR6/L9BefmNpA2152zQQ+/Kvtt3iSUs=,my library,Local playlist more,local-playlist,1
gkWsUPNQVsVvEjihLMbIZlriQbV+YyFVMB42melpJhI=,tpsX+zae7W9+0Y/hpsAJBpQLxvctzbEUeTkYPCpf040=,my library,Local playlist more,local-playlist,1
gkWsUPNQVsVvEjihLMbIZlriQbV+YyFVMB42melpJhI=,wYrDzOG0yorZni7WBtsr3QrCt7Huaj3aLEC0QWaZdFs=,my library,Local playlist more,local-playlist,1
AXKTVBbdr2/z7m5WL1IXzlriNbun8B+7wM41MsWCYDw=,GopWs12UdPVQa3rEWVHv19FsoqHHsjo0il0Le89wN28=,discover,Discover Feature,album,0
AXKTVBbdr2/z7m5WL1IXzlriNbun8B+7wM41MsWCYDw=,8geiVKcfEd3jj9XiGb3hOVio3v0/BY8P29b2r3eo3Ps=,discover,Discover Feature,song-based-playlist,1
UsJ0TVPX7D+XNIS+bD8v/MQ+rw+ZbjW0PuU5c7tYymM=,STrUE9av7xoG8Fu2LzBWKSpBm8+sor71MxioKHhsq7U=,my library,Local playlist more,local-library,1
/waL2mmZc8jUc2zQdOjJjypxwEHEsm/VksD9bQ8HriQ=,NhQfOVnptpW5z5qsP/sN+hVS8TM2iYvdy/ZGVe7K+kM=,discover,Discover Chart,online-playlist,1
AXKTVBbdr2/z7m5WL1IXzlriNbun8B+7wM41MsWCYDw=,PEr+VUIEq1CiFvNSEotE0VgjPii1wNK0srYkQ629jMw=,discover,Discover Feature,album,0
XIpjLNs4f/OHphnrSPoNmsrd45Al8pL0v74FgzDZHnQ=,3VkD5ekIf5duJm1hmYTZlXjyl0zqV8wCzuAh3uocfCg=,my library,Local playlist more,local-playlist,1
XIpjLNs4f/OHphnrSPoNmsrd45Al8pL0v74FgzDZHnQ=,02gZ0fxCTb73+laNQIEtc9DZN29efUTQ5ppDQkxZ3c4=,my library,Local playlist more,local-playlist,0
UsJ0TVPX7D+XNIS+bD8v/MQ+rw+ZbjW0PuU5c7tYymM=,uvhnnHYdmRoKrjqIZDtkJlrjyA5Ar3yZOG2aaV2q/EI=,my library,Local playlist more,local-library,1
AXKTVBbdr2/z7m5WL1IXzlriNbun8B+7wM41MsWCYDw=,SdrJPjGVS23rS7eNdmTe4h7SX8WAFeSja5XTejy3S0o=,discover,Discover Feature,album,0
AXKTVBbdr2/z7m5WL1IXzlriNbun8B+7wM41MsWCYDw=,yIllJ0cE7535hEXIzaQp0ePMojoOmkBYaXV8z1y+0c4=,discover,Discover Feature,album,0
AXKTVBbdr2/z7m5WL1IXzlriNbun8B+7wM41MsWCYDw=,WTQ1doDa8xAetUIXq+G/3AmF8/GPtJfRtbjaaj0vGqQ=,discover,Discover Feature,album,0
XIpjLNs4f/OHphnrSPoNmsrd45Al8pL0v74FgzDZHnQ=,8OsXpp32oqorzAN4NNkVouaV0I81ddPLZ8DxMRAGJdQ=,my library,Local playlist more,local-playlist,1
AXKTVBbdr2/z7m5WL1IXzlriNbun8B+7wM41MsWCYDw=,iGQWuI/3FeZrHKxt1Yy0A2cfqTFSiNN6DoxnKkb6h5g=,discover,Discover Feature,album,1
UsJ0TVPX7D+XNIS+bD8v/MQ+rw+ZbjW0PuU5c7tYymM=,2uUGv2mOU0IuMCJRgks/r/hP/nR2KBaEBXsat1443eE=,my library,Local playlist more,local-library,1
hKwxGNnAnVLbafv2sDSj8hlIf88SbDfnrSeE+R+bqFc=,rFLawM8j/vW78o/S3P2GTsmy6HwkTI15P7NF/i9CkX4=,my library,Local playlist more,local-playlist,1
hOyJGmY7tciqGf1EhDj5UT86IfSSnaTHP5JWAPxYN6s=,evaPiUW4ZoRCp27WhCmBCebbpvDtSW7IBNkhQ6M/ldM=,radio,Radio,radio,0
